,XLV,XLI,XLU,XLK,AFTY,FAUS
1/4/16,66.68895,48.482872,38.176575,39.895168,11.952036,23.504566
1/5/16,67.009537,48.612659,38.450592,39.791348,12.234222,22.585115
1/6/16,66.462677,47.861771,38.379875,39.30056,12.143196,21.531923
1/7/16,65.114372,46.563957,38.123528,38.13966,11.48779,20.963535
1/8/16,64.133774,46.091183,38.105862,37.837654,11.606127,20.963535
1/11/16,63.370064,46.118988,38.309158,38.083035,11.442275,20.963535
1/12/16,64.180939,46.489803,38.158894,38.536072,11.524202,20.838156
1/13/16,62.276352,45.368111,38.14122,37.497875,11.205603,20.838156
1/14/16,63.945206,45.905777,38.715763,38.20573,11.587921,20.579039
1/15/16,63.049503,45.099277,38.371044,37.129784,11.096368,20.579039
1/19/16,63.04007,45.09,38.945587,37.167538,11.442275,20.579039
1/20/16,63.162647,44.505974,38.070499,36.874954,11.278425,20.319916
1/21/16,62.974075,44.700653,38.035149,37.082596,11.123676,20.319916
1/22/16,63.973503,45.09,38.715763,38.111351,11.169191,20.612471
1/25/16,63.379513,44.533794,38.388718,37.667763,10.923413,20.428583
1/26/16,63.860359,45.377377,38.653885,38.035851,10.668535,20.428583
1/27/16,63.134365,44.867516,38.742283,37.252487,10.450066,22.008371
1/28/16,61.66349,45.127083,39.361031,37.733826,10.384525,22.008371
1/29/16,62.672359,46.341473,40.14772,38.923038,10.732254,22.44302
2/1/16,62.76664,46.230232,40.527805,39.064617,10.313524,22.44302
2/2/16,61.861496,45.303215,40.704594,38.366184,10.426399,22.44302
2/3/16,62.266914,46.035557,41.208427,38.318993,10.613917,21.908066
2/4/16,61.927483,46.832794,41.031635,38.356739,10.741358,20.227974
2/5/16,60.720615,46.387829,41.16423,37.2808,10.650328,20.227974
2/8/16,59.890896,45.998482,41.022797,36.742817,10.340832,20.988615
2/9/16,60.334042,46.276585,41.16423,36.572933,10.308972,20.988615
2/10/16,60.871479,46.035557,41.120029,36.629562,10.470093,20.988615
2/11/16,59.890896,45.136353,40.395218,36.55405,10.149673,20.988615
2/12/16,60.692329,46.044827,40.271469,37.063713,10.149673,20.988615
2/16/16,61.833199,46.97184,40.527805,37.724392,10.897926,20.512165
2/17/16,62.61578,47.69492,40.448246,38.498318,11.105471,20.512165
2/18/16,62.229202,47.667103,41.111198,38.347309,10.918862,20.512165
2/19/16,62.1632,47.574398,40.837173,38.375629,10.91431,20.512165
2/22/16,63.049503,48.380905,41.314499,38.885284,11.258398,20.512165
2/23/16,62.578072,47.898853,41.349854,38.271801,10.887002,20.512165
